setsockopt: Protocol not available
150.791 391.591 280 0
178.063 200.265 226 1
151.066 390.63 286 1
177.368 199.546 226 0
151.342 389.669 286 0
176.673 198.826 226 0
151.618 388.707 286 0
175.907 198.183 220 2
151.893 387.746 286 0
175.078 197.624 214 2
152.268 386.819 292 1
174.195 197.155 208 2
152.737 385.936 298 1
173.312 196.685 208 0
153.112 385.009 292 2
172.429 196.216 208 0
153.581 384.126 298 1
171.546 195.746 208 0
154.141 383.297 304 1
170.663 195.277 208 0
154.7 382.468 304 0
169.834 194.718 214 1
155.259 381.639 304 0
169.068 194.075 220 1
155.818 380.81 304 0
168.374 193.356 226 1
156.461 380.044 310 1
167.679 192.636 226 0
157.104 379.278 310 0
166.984 191.917 226 0
157.747 378.512 310 0
166.29 191.198 226 0
158.389 377.746 310 0
165.524 190.555 220 2
158.949 376.917 304 2
164.695 189.996 214 2
159.418 376.034 298 2
163.866 189.436 214 0
159.887 375.151 298 0
162.983 188.967 208 2
160.447 374.322 304 1
162.056 188.592 202 2
161.089 373.556 310 1
161.173 188.123 208 1
161.809 372.861 316 1
160.344 187.564 214 1
162.452 372.095 310 2
159.577 186.921 220 1
163.011 371.266 304 2
158.748 186.362 214 2
163.48 370.383 298 2
157.982 185.719 220 1
163.855 369.456 292 2
157.288 185 226 1
164.131 368.494 286 2
156.593 184.28 226 0
164.406 367.533 286 0
155.827 183.637 220 2
164.58 366.548 280 2
154.998 183.078 214 2
164.65 365.551 274 2
154.169 182.519 214 0
164.823 364.566 280 1
153.286 182.05 208 2
164.893 363.568 274 2
152.359 181.675 202 2
164.858 362.569 268 2
151.398 181.399 196 2
164.928 361.572 274 1
150.413 181.226 190 2
164.998 360.574 274 0
149.415 181.156 184 2
165.067 359.576 274 0
148.43 180.982 190 1
165.137 358.579 274 0
147.446 180.809 190 0
165.207 357.581 274 0
146.461 180.635 190 0
165.277 356.584 274 0
145.476 180.461 190 0
165.45 355.599 280 1
144.515 180.186 196 1
165.624 354.614 280 0
143.588 179.811 202 1
165.798 353.629 280 0
142.705 179.342 208 1
165.971 352.644 280 0
141.822 178.872 208 0
166.041 351.647 274 2
140.939 178.403 208 0
166.006 350.648 268 2
140.056 177.933 208 0
165.971 349.648 268 0
139.173 177.464 208 0
166.041 348.651 274 1
138.29 176.994 208 0
166.215 347.666 280 1
137.363 176.62 202 2
166.284 346.668 274 2
136.401 176.344 196 2
166.458 345.683 280 1
135.417 176.17 190 2
166.734 344.722 286 1
134.419 176.101 184 2
166.907 343.737 280 2
133.42 176.136 178 2
166.977 342.74 274 2
132.429 176.275 172 2
166.942 341.74 268 2
131.459 176.517 166 2
166.803 340.75 262 2
130.489 176.759 166 0
166.664 339.76 262 0
129.518 177 166 0
166.525 338.77 262 0
128.528 177.14 172 1
166.385 337.779 262 0
127.529 177.175 178 1
166.351 336.78 268 1
126.531 177.105 184 1
166.42 335.782 274 1
125.534 177.035 184 0
166.49 334.785 274 0
124.534 177.07 178 2
166.455 333.785 268 2
123.544 177.209 172 2
166.316 332.795 262 2
122.545 177.244 178 1
166.074 331.825 256 2
121.554 177.383 172 2
165.832 330.855 256 0
120.584 177.625 166 2
165.59 329.884 256 0
119.644 177.967 160 2
165.348 328.914 256 0
118.705 178.309 160 0
165.209 327.924 262 1
117.765 178.651 160 0
165.174 326.924 268 1
116.795 178.893 166 1
165.244 325.927 274 1
115.804 179.032 172 1
165.314 324.929 274 0
114.805 179.067 178 1
165.383 323.932 274 0
113.815 179.206 172 2
165.349 322.932 268 2
112.825 179.345 172 0
165.314 321.933 268 0
111.834 179.485 172 0
165.279 320.933 268 0
110.844 179.624 172 0
165.14 319.943 262 2
109.845 179.659 178 1
165.105 318.944 268 1
108.847 179.589 184 1
165.174 317.946 274 1
107.862 179.415 190 1
165.14 316.947 268 2
106.901 179.14 196 1
165 315.957 262 2
105.974 178.765 202 1
164.758 314.986 256 2
105.013 178.489 196 2
164.619 313.996 262 1
104.085 178.115 202 1
164.584 312.997 268 1
103.202 177.645 208 1
164.654 311.999 274 1
102.275 177.271 202 2
164.724 311.001 274 0
101.392 176.801 208 1
164.689 310.002 268 2
100.563 176.242 214 1
164.55 309.012 262 2
99.7342 175.683 214 0
164.515 308.012 268 1
98.9051 175.124 214 0
164.376 307.022 262 2
98.0761 174.564 214 0
164.134 306.052 256 2
